date,region,confirmed,death,released
2020-02-17,서울,14,0,3
2020-02-17,부산,0,0,0
2020-02-17,대구,0,0,0
2020-02-17,인천,1,0,1
2020-02-17,광주,2,0,0
2020-02-17,대전,0,0,0
2020-02-17,울산,0,0,0
2020-02-17,세종,0,0,0
2020-02-17,경기,11,0,4
2020-02-17,강원,0,0,0
2020-02-17,충북,0,0,0
2020-02-17,충남,0,0,0
2020-02-17,전북,1,0,1
2020-02-17,전남,1,0,1
2020-02-17,경북,0,0,0
2020-02-17,경남,0,0,0
2020-02-17,제주,0,0,0
2020-02-17,검역,0,0,0
2020-02-17,합계,30,0,10
2020-02-18,서울,0,0,0
2020-02-18,부산,0,0,0
2020-02-18,대구,1,0,0
2020-02-18,인천,0,0,0
2020-02-18,광주,0,0,0
2020-02-18,대전,0,0,0
2020-02-18,울산,0,0,0
2020-02-18,세종,0,0,0
2020-02-18,경기,0,0,2
2020-02-18,강원,0,0,0
2020-02-18,충북,0,0,0
2020-02-18,충남,0,0,0
2020-02-18,전북,0,0,0
2020-02-18,전남,0,0,0
2020-02-18,경북,0,0,0
2020-02-18,경남,0,0,0
2020-02-18,제주,0,0,0
2020-02-18,검역,0,0,0
2020-02-18,합계,1,0,2
2020-02-19,서울,1,0,2
2020-02-19,부산,0,0,0
2020-02-19,대구,15,0,0
2020-02-19,인천,0,0,0
2020-02-19,광주,0,0,2
2020-02-19,대전,0,0,0
2020-02-19,울산,0,0,0
2020-02-19,세종,0,0,0
2020-02-19,경기,1,0,0
2020-02-19,강원,0,0,0
2020-02-19,충북,0,0,0
2020-02-19,충남,0,0,0
2020-02-19,전북,0,0,0
2020-02-19,전남,0,0,0
2020-02-19,경북,3,0,0
2020-02-19,경남,0,0,0
2020-02-19,제주,0,0,0
2020-02-19,검역,0,0,0
2020-02-19,합계,20,0,4
2020-02-20,서울,7,0,0
2020-02-20,부산,8,0,0
2020-02-20,대구,14,0,0
2020-02-20,인천,1,0,0
2020-02-20,광주,1,0,0
2020-02-20,대전,0,0,0
2020-02-20,울산,0,0,0
2020-02-20,세종,0,0,0
2020-02-20,경기,0,0,0
2020-02-20,강원,1,0,0
2020-02-20,충북,0,0,0
2020-02-20,충남,0,0,0
2020-02-20,전북,0,0,0
